file_name,user_name,notebook_name,libraries,num_lib
panditdandgule_complete-beginner-your-first-titanic-submission.html,panditdandgule,complete-beginner-your-first-titanic-submission,"['pandas', 'sklearn', 'export_graphviz', 'Image,', 'a']",5
xupanda_titanic-random-forest-82-78.html,xupanda,titanic-random-forest-82-78,"['os', 'pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn']",6
mosleylm_titanic-data-set-exploration.html,mosleylm,titanic-data-set-exploration,"['numpy', 'pandas', 'csv', 'subprocess', 'matplotlib', 're', 'sklearn', 'seaborn']",8
keilorgilbert_titanic-initial-exploration-of-data.html,keilorgilbert,titanic-initial-exploration-of-data,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'scipy', 'our']",6
monthepp_titanic-machine-learning-from-disaster.html,monthepp,titanic-machine-learning-from-disaster,"['python', 're', 'data', 'numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn']",8
maheshsk_titanic-survival-prediction-end-to-end-ml-pipeline.html,maheshsk,titanic-survival-prediction-end-to-end-ml-pipeline,"['pandas', 'numpy', 'matplotlib', 'seaborn', 're', 'sklearn']",6
manishshah120_titanic-kaggle-competition.html,manishshah120,titanic-kaggle-competition,"['os', 'pandas', 'numpy', 'seaborn', 'sklearn', 'matplotlib', 'warnings', 'statistics']",8
iamaniket_titanicsurvivorprediction.html,iamaniket,titanicsurvivorprediction,"['numpy', 'pandas', 'os', 'seaborn', 'matplotlib', 'math', 'sklearn']",7
ishida66_titanic-random-forest-82-78.html,ishida66,titanic-random-forest-82-78,"['os', 'pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn']",6
surenj_titanic.html,surenj,titanic,"['os', 'pandas', 'matplotlib', 'seaborn', 'numpy', 'sklearn']",6
dbabs8_titanic-data-science-solutions-db.html,dbabs8,titanic-data-science-solutions-db,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
orhunyildiz_titanic-notebook.html,orhunyildiz,titanic-notebook,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'collections', 'warnings', 'os', 'sklearn']",8
nlprunner_titanic-practice-with-scikit-learn.html,nlprunner,titanic-practice-with-scikit-learn,['pandas'],1
yasserabdelsattar_titanic-predictions-using-g-boosting.html,yasserabdelsattar,titanic-predictions-using-g-boosting,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn']",6
dnfinal_titanic-data-science-solutions.html,dnfinal,titanic-data-science-solutions,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
francoisolivier_titanic4.html,francoisolivier,titanic4,"['pandas', 'xgboost', 'sklearn', 'numpy']",4
jimchen65_titanic.html,jimchen65,titanic,"['numpy', 'pandas', 'subprocess']",3
sabarostami_titanic.html,sabarostami,titanic,"['numpy', 'pandas', 'os', 'seaborn', 'matplotlib', 'sklearn', 'warnings']",7
mukultiwari_titanic-2.html,mukultiwari,titanic-2,"['numpy', 'pandas', 'sklearn', 'xgboost', 'statistics']",5
shuanggao_titanic-tiro.html,shuanggao,titanic-tiro,"['numpy', 'pandas', 'os', 're', 'sklearn', 'matplotlib', 'xgboost', 'joblib,']",8
sebastiengclaro_kaggle-titanic.html,sebastiengclaro,kaggle-titanic,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn']",6
